hidden_size,num_layers,learning_rate,batch_size,dropout_rate,gpath,tangles,niareagansc
4,1,0.001,8,0.2,0.20098732351287124,0.26301769387935503,0.18299730356712807
4,1,0.001,8,0.4,0.20098732351287124,0.26301769387935503,0.18299730356712807
4,1,0.001,8,0.5,0.20098732351287124,0.26301769387935503,0.18299730356712807
4,1,0.001,8,0.6,0.20098732351287124,0.26301769387935503,0.18299730356712807
4,1,0.001,16,0.2,0.19226028456505095,0.23862989347880878,0.16680022489245386
4,1,0.001,16,0.4,0.19226028456505095,0.23862989347880878,0.16680022489245386
4,1,0.001,16,0.5,0.19226028456505095,0.23862989347880878,0.16680022489245386
4,1,0.001,16,0.6,0.19226028456505095,0.23862989347880878,0.16680022489245386
4,1,0.001,32,0.2,0.19157029963568808,0.2296096597642845,0.15820484810959734
4,1,0.001,32,0.4,0.19157029963568808,0.2296096597642845,0.15820484810959734
4,1,0.001,32,0.5,0.19157029963568808,0.2296096597642845,0.15820484810959734
4,1,0.001,32,0.6,0.19157029963568808,0.2296096597642845,0.15820484810959734
4,1,0.005,8,0.2,0.2068597909980554,0.280364950851647,0.20230130914605576
4,1,0.005,8,0.4,0.2068597909980554,0.280364950851647,0.20230130914605576
4,1,0.005,8,0.5,0.2068597909980554,0.280364950851647,0.20230130914605576
4,1,0.005,8,0.6,0.2068597909980554,0.280364950851647,0.20230130914605576
4,1,0.005,16,0.2,0.2056103211645496,0.2922811749127962,0.18499590787519068
4,1,0.005,16,0.4,0.2056103211645496,0.2922811749127962,0.18499590787519068
4,1,0.005,16,0.5,0.2056103211645496,0.2922811749127962,0.18499590787519068
4,1,0.005,16,0.6,0.2056103211645496,0.2922811749127962,0.18499590787519068
4,1,0.005,32,0.2,0.1999460399066264,0.26223284808388125,0.17413544791732383
4,1,0.005,32,0.4,0.1999460399066264,0.26223284808388125,0.17413544791732383
4,1,0.005,32,0.5,0.1999460399066264,0.26223284808388125,0.17413544791732383
4,1,0.005,32,0.6,0.1999460399066264,0.26223284808388125,0.17413544791732383
